station_id,year,month,obs_mm_day,CHIRPS,ERA5_LAND,GPM_IMERG,MERRA2,PERSIANN_CDR,TERRACLIMATE,zone_name,zone_id
WA001,2004,5,0.0,0.020559138,0.000817884,0.044271462,,0.036916036,0.0,Soudanian,3
WA001,2004,6,0.1,0.433130056,0.012436413,0.323166549,,0.310147613,0.270755142,Soudanian,3
WA001,2004,7,1.91,3.883444071,0.653364539,1.284661889,,2.638221741,1.064351797,Soudanian,3
WA001,2004,8,3.7,3.956041098,1.70335412,6.021486759,,6.389416695,4.906956673,Soudanian,3
WA001,2004,9,2.16,2.998328209,1.420749545,2.552685499,,2.762327433,3.474891424,Soudanian,3
WA001,2004,10,2.37,0.375219554,0.077614523,0.165028632,,0.256390512,0.129032254,Soudanian,3
WA001,2004,11,0.0,0.030874327,0.00898409,0.060000002,,0.570557535,0.0,Soudanian,3
WA001,2004,12,1.71,0.031489372,0.004608399,0.09902861,,0.000292297,0.0,Soudanian,3
WA001,2005,1,0.4,0.026623845,0.008401512,0.13205722,,0.062540248,0.0,Soudanian,3
WA001,2005,2,4.08,0.010244544,0.138532117,0.736771822,,0.094167009,0.201007992,Soudanian,3
WA001,2005,3,2.7,0.0,0.004890868,0.030757155,,0.041212723,0.0,Soudanian,3
WA001,2005,4,1.23,0.00122559,0.000599391,0.002252384,,0.004756738,0.0,Soudanian,3
WA001,2005,5,1.39,0.027398288,0.004649861,0.06001908,,0.043046992,0.0,Soudanian,3
WA001,2005,6,1.49,0.75502789,0.053519584,0.586485684,,0.920113444,0.520723343,Soudanian,3
WA001,2005,7,2.06,4.306536674,1.404659271,3.105703592,,4.711098671,4.312008381,Soudanian,3
WA001,2005,8,3.92,9.621611595,4.178594112,7.977932453,,7.865478516,8.2576828,Soudanian,3
WA001,2005,9,3.57,5.094591618,2.747956038,4.015171051,,4.9796381,5.168597698,Soudanian,3
WA001,2005,10,0.26,1.592195034,0.153522834,1.530719161,,1.968779922,1.282201409,Soudanian,3
WA001,2005,11,0.0,0.014996263,0.008547376,0.099047691,,0.069902092,0.033333335,Soudanian,3
WA001,2005,12,0.0,0.035620809,0.001220883,0.018757153,,0.0,0.0,Soudanian,3
WA001,2006,1,1.35,0.022227723,0.019256679,0.035999998,,0.010242012,0.0,Soudanian,3
WA001,2006,2,5.12,0.009873461,0.02062415,0.132776231,,0.034611244,0.029034209,Soudanian,3
WA001,2006,3,2.68,1.25e-07,0.003059818,0.003747616,,0.033811461,0.0,Soudanian,3
WA001,2006,4,1.36,0.0,0.001058476,0.05100954,,0.00567929,0.0,Soudanian,3
WA001,2006,5,0.0,3.99e-05,0.010114505,0.073495232,,0.033663273,0.0,Soudanian,3
WA001,2006,6,0.7,0.663207352,0.002378172,0.335885555,,0.728698015,0.47280854,Soudanian,3
WA001,2006,7,3.28,2.094485283,0.941007912,2.386352539,,2.774762392,2.366675138,Soudanian,3
WA001,2006,8,4.11,5.362751007,3.977550507,6.416214466,,6.11297369,5.493550301,Soudanian,3
WA001,2006,9,3.07,5.106888771,3.878619909,5.153962135,,5.808902264,6.35821104,Soudanian,3
WA001,2006,10,0.0,1.171194077,0.490730673,1.912600279,,1.217282414,1.225762725,Soudanian,3
WA001,2006,11,0.05,0.000945771,0.001367496,0.038252383,,0.029425681,0.0,Soudanian,3
WA001,2006,12,0.02,0.03489254,0.006527694,0.093766697,,0.013858811,0.0,Soudanian,3
WA001,2007,1,1.01,0.016490541,0.000965311,0.022504767,,0.102299064,0.0,Soudanian,3
WA001,2007,2,5.11,0.007539123,0.00113479,0.002252384,,0.001048226,0.0,Soudanian,3
WA001,2007,3,1.91,0.000948549,0.001142967,0.028504768,,0.010817474,0.0,Soudanian,3
WA001,2007,4,0.52,0.001128748,0.001874645,0.017999999,,0.000953242,0.0,Soudanian,3
WA001,2007,5,1.1,0.002697759,0.001081068,0.020252384,,0.001462192,0.0,Soudanian,3
WA001,2007,6,1.06,0.315009564,0.057336506,0.222719029,,0.132324785,0.081218846,Soudanian,3
WA001,2007,7,3.33,2.595146894,4.227782726,3.084433079,,1.575325131,2.898874283,Soudanian,3
WA001,2007,8,4.38,3.921542645,5.772003174,3.429932594,,4.829591274,4.195337772,Soudanian,3
WA001,2007,9,1.97,6.198002338,1.955634236,3.888885021,,5.535132408,5.943518639,Soudanian,3
WA001,2007,10,0.4,0.176554695,0.208249941,0.096757159,,0.484429628,0.395117551,Soudanian,3
WA001,2007,11,0.0,0.016663874,0.000889113,0.026990462,,0.332719356,0.074984111,Soudanian,3
WA001,2007,12,0.0,0.026701283,0.000636517,0.042019073,,0.00362608,0.0,Soudanian,3
WA001,2008,1,0.85,0.025038572,0.00224931,0.072776228,,0.031131182,0.0,Soudanian,3
WA001,2008,2,3.25,0.007031769,0.068252683,0.172542915,,0.118200347,0.109977596,Soudanian,3
WA001,2008,3,3.0,0.0,0.000846674,0.026990462,,0.041639321,0.0,Soudanian,3
