threshold,zone,product,pod,far,csi,ets,freq_bias
0.5,Guineo-Congolean,PERSIANN_CDR,0.9815,0.0988,0.8862,0.3358,1.089
0.5,Guineo-Congolean,TERRACLIMATE,0.9728,0.0763,0.9005,0.4424,1.0532
0.5,All West Africa,CHIRPS,0.9771,0.097,0.8842,0.7176,1.0821
0.5,All West Africa,ERA5_LAND,0.9464,0.1152,0.8426,0.6307,1.0696
0.5,All West Africa,GPM_IMERG,0.9901,0.098,0.8939,0.7365,1.0977
0.5,All West Africa,MERRA2,0.9589,0.0902,0.8757,0.704,1.054
0.5,All West Africa,PERSIANN_CDR,0.9749,0.1079,0.8721,0.6886,1.0929
0.5,All West Africa,TERRACLIMATE,0.9702,0.0984,0.8773,0.7034,1.0761
1.0,Saharian,CHIRPS,0.8462,0.3333,0.5946,0.5512,1.2692
1.0,Saharian,ERA5_LAND,0.3077,0.1111,0.2963,0.2699,0.3462
1.0,Saharian,GPM_IMERG,0.9231,0.1429,0.8,0.7775,1.0769
1.0,Saharian,MERRA2,0.7308,0.3214,0.5429,0.4995,1.0769
1.0,Saharian,PERSIANN_CDR,0.8462,0.1852,0.7097,0.6794,1.0385
1.0,Saharian,TERRACLIMATE,0.6538,0.3462,0.4857,0.4407,1.0
1.0,Sahelian,CHIRPS,0.931,0.0485,0.8889,0.8261,0.9784
1.0,Sahelian,ERA5_LAND,0.7996,0.0389,0.7745,0.6725,0.8319
1.0,Sahelian,GPM_IMERG,0.9806,0.0619,0.9211,0.8727,1.0453
1.0,Sahelian,MERRA2,0.9353,0.1014,0.846,0.7578,1.0409
1.0,Sahelian,PERSIANN_CDR,0.9461,0.0854,0.8693,0.7934,1.0345
1.0,Sahelian,TERRACLIMATE,0.9526,0.083,0.877,0.8048,1.0388
1.0,Soudanian,CHIRPS,0.9749,0.1094,0.8706,0.7476,1.0947
1.0,Soudanian,ERA5_LAND,0.9415,0.0889,0.8622,0.7391,1.0334
1.0,Soudanian,GPM_IMERG,0.9889,0.1256,0.8659,0.735,1.1309
1.0,Soudanian,MERRA2,0.9331,0.0771,0.8656,0.7476,1.0111
1.0,Soudanian,PERSIANN_CDR,0.9582,0.1157,0.8515,0.7143,1.0836
1.0,Soudanian,TERRACLIMATE,0.9526,0.088,0.8724,0.7561,1.0446
1.0,Guinean,CHIRPS,0.9737,0.1023,0.8765,0.5567,1.0846
1.0,Guinean,ERA5_LAND,0.9737,0.1508,0.8301,0.3883,1.1466
1.0,Guinean,GPM_IMERG,0.9662,0.1214,0.8524,0.4788,1.0996
1.0,Guinean,MERRA2,0.8797,0.0545,0.8372,0.5291,0.9305
1.0,Guinean,PERSIANN_CDR,0.9756,0.0847,0.8948,0.6212,1.0658
1.0,Guinean,TERRACLIMATE,0.9831,0.1312,0.856,0.4705,1.1316
1.0,Guineo-Congolean,CHIRPS,0.9597,0.0892,0.8773,0.5141,1.0537
1.0,Guineo-Congolean,ERA5_LAND,0.9732,0.145,0.8353,0.3188,1.1383
1.0,Guineo-Congolean,GPM_IMERG,0.9678,0.0526,0.9185,0.6708,1.0215
1.0,Guineo-Congolean,MERRA2,0.957,0.0929,0.8716,0.4953,1.055
1.0,Guineo-Congolean,PERSIANN_CDR,0.957,0.1043,0.8611,0.4531,1.0685
1.0,Guineo-Congolean,TERRACLIMATE,0.9248,0.0886,0.8485,0.4541,1.0148
1.0,All West Africa,CHIRPS,0.9581,0.0914,0.8739,0.7302,1.0546
1.0,All West Africa,ERA5_LAND,0.9219,0.1187,0.8201,0.6289,1.0461
1.0,All West Africa,GPM_IMERG,0.9732,0.0865,0.891,0.7631,1.0654
1.0,All West Africa,MERRA2,0.9262,0.0863,0.8516,0.6934,1.0136
1.0,All West Africa,PERSIANN_CDR,0.9581,0.0983,0.8675,0.7166,1.0626
1.0,All West Africa,TERRACLIMATE,0.9468,0.1017,0.8551,0.6937,1.0541
2.0,Saharian,CHIRPS,0.875,0.4615,0.5,0.484,1.625
2.0,Saharian,ERA5_LAND,0.125,0.5,0.1111,0.1045,0.25
2.0,Saharian,GPM_IMERG,0.875,0.5333,0.4375,0.4194,1.875
2.0,Saharian,MERRA2,0.5,0.6667,0.25,0.2308,1.5
2.0,Saharian,PERSIANN_CDR,0.75,0.4545,0.4615,0.4459,1.375
2.0,Saharian,TERRACLIMATE,0.75,0.3333,0.5455,0.5327,1.125
2.0,Sahelian,CHIRPS,0.9264,0.0736,0.8629,0.8083,1.0
2.0,Sahelian,ERA5_LAND,0.7548,0.0415,0.7309,0.649,0.7875
2.0,Sahelian,GPM_IMERG,0.9646,0.0853,0.885,0.8367,1.0545
2.0,Sahelian,MERRA2,0.9183,0.1201,0.816,0.7431,1.0436
2.0,Sahelian,PERSIANN_CDR,0.9346,0.116,0.8325,0.7648,1.0572
2.0,Sahelian,TERRACLIMATE,0.9292,0.105,0.8378,0.7728,1.0381
2.0,Soudanian,CHIRPS,0.9814,0.0971,0.8876,0.7995,1.087
2.0,Soudanian,ERA5_LAND,0.941,0.0873,0.8632,0.763,1.0311
2.0,Soudanian,GPM_IMERG,0.9907,0.1089,0.8837,0.7909,1.1118
2.0,Soudanian,MERRA2,0.9037,0.0732,0.8435,0.736,0.9752
2.0,Soudanian,PERSIANN_CDR,0.9814,0.1023,0.8827,0.7906,1.0932
2.0,Soudanian,TERRACLIMATE,0.972,0.098,0.8792,0.7859,1.0776
2.0,Guinean,CHIRPS,0.9587,0.1302,0.8384,0.5794,1.1022
2.0,Guinean,ERA5_LAND,0.9435,0.2007,0.7627,0.3921,1.1804
2.0,Guinean,GPM_IMERG,0.9565,0.1304,0.8365,0.5758,1.1
2.0,Guinean,MERRA2,0.8022,0.0798,0.75,0.4784,0.8717
2.0,Guinean,PERSIANN_CDR,0.9391,0.1093,0.8421,0.6013,1.0543
2.0,Guinean,TERRACLIMATE,0.9609,0.166,0.8066,0.4938,1.1522
2.0,Guineo-Congolean,CHIRPS,0.9179,0.1065,0.8274,0.6039,1.0274
2.0,Guineo-Congolean,ERA5_LAND,0.8786,0.1854,0.7322,0.4078,1.0786
2.0,Guineo-Congolean,GPM_IMERG,0.906,0.0502,0.8646,0.6959,0.9538
2.0,Guineo-Congolean,MERRA2,0.9316,0.1444,0.805,0.543,1.0889
2.0,Guineo-Congolean,PERSIANN_CDR,0.9197,0.1195,0.8176,0.5799,1.0444
2.0,Guineo-Congolean,TERRACLIMATE,0.8547,0.1213,0.7645,0.4988,0.9726
2.0,All West Africa,CHIRPS,0.942,0.1072,0.8463,0.7304,1.0551
2.0,All West Africa,ERA5_LAND,0.8777,0.1491,0.7607,0.5974,1.0316
2.0,All West Africa,GPM_IMERG,0.9472,0.0954,0.8612,0.7556,1.0471
2.0,All West Africa,MERRA2,0.8875,0.1151,0.7957,0.6549,1.0029
2.0,All West Africa,PERSIANN_CDR,0.9386,0.1148,0.8367,0.7142,1.0603
2.0,All West Africa,TERRACLIMATE,0.9196,0.1275,0.8107,0.6728,1.054
5.0,Saharian,CHIRPS,,,,,
5.0,Saharian,ERA5_LAND,,,,,
5.0,Saharian,GPM_IMERG,,,,,
5.0,Saharian,MERRA2,,1.0,0.0,0.0,
5.0,Saharian,PERSIANN_CDR,,,,,
5.0,Saharian,TERRACLIMATE,,,,,
5.0,Sahelian,CHIRPS,0.8333,0.0811,0.7763,0.7387,0.9069
5.0,Sahelian,ERA5_LAND,0.6029,0.0682,0.5775,0.5277,0.6471
5.0,Sahelian,GPM_IMERG,0.9069,0.1148,0.8114,0.7766,1.0245
5.0,Sahelian,MERRA2,0.75,0.1,0.6923,0.646,0.8333
5.0,Sahelian,PERSIANN_CDR,0.8873,0.1847,0.7388,0.6912,1.0882
5.0,Sahelian,TERRACLIMATE,0.8431,0.1269,0.7511,0.7085,0.9657
5.0,Soudanian,CHIRPS,0.9349,0.1862,0.7701,0.6796,1.1488
5.0,Soudanian,ERA5_LAND,0.8744,0.1532,0.755,0.6661,1.0326
5.0,Soudanian,GPM_IMERG,0.9814,0.1822,0.8053,0.7243,1.2
5.0,Soudanian,MERRA2,0.7535,0.1383,0.6722,0.5727,0.8744
5.0,Soudanian,PERSIANN_CDR,0.9395,0.1855,0.7739,0.6844,1.1535
5.0,Soudanian,TERRACLIMATE,0.907,0.2073,0.7331,0.6312,1.1442
5.0,Guinean,CHIRPS,0.88,0.1619,0.7521,0.6041,1.05
5.0,Guinean,ERA5_LAND,0.8167,0.2462,0.6447,0.448,1.0833
5.0,Guinean,GPM_IMERG,0.93,0.1696,0.7815,0.6406,1.12
5.0,Guinean,MERRA2,0.63,0.129,0.5762,0.4149,0.7233
5.0,Guinean,PERSIANN_CDR,0.8433,0.1678,0.7208,0.5632,1.0133
5.0,Guinean,TERRACLIMATE,0.9033,0.2145,0.7246,0.5527,1.15
5.0,Guineo-Congolean,CHIRPS,0.8578,0.2311,0.682,0.5985,1.1156
5.0,Guineo-Congolean,ERA5_LAND,0.5733,0.3027,0.4591,0.3604,0.8222
5.0,Guineo-Congolean,GPM_IMERG,0.7822,0.133,0.6984,0.6282,0.9022
5.0,Guineo-Congolean,MERRA2,0.7422,0.3013,0.5623,0.4605,1.0622
5.0,Guineo-Congolean,PERSIANN_CDR,0.7733,0.2162,0.6374,0.552,0.9867
5.0,Guineo-Congolean,TERRACLIMATE,0.7689,0.2669,0.6007,0.5058,1.0489
5.0,All West Africa,CHIRPS,0.8771,0.1703,0.7433,0.6708,1.0572
5.0,All West Africa,ERA5_LAND,0.7256,0.2072,0.61,0.519,0.9153
5.0,All West Africa,GPM_IMERG,0.9015,0.1541,0.7743,0.7088,1.0657
5.0,All West Africa,MERRA2,0.7108,0.1767,0.6167,0.5302,0.8633
5.0,All West Africa,PERSIANN_CDR,0.8581,0.1867,0.7168,0.6385,1.0551
5.0,All West Africa,TERRACLIMATE,0.8591,0.208,0.701,0.6178,1.0847
