station_id,year,month,obs_mm_day,CHIRPS,ERA5_LAND,GPM_IMERG,MERRA2,PERSIANN_CDR,TERRACLIMATE
WA001,2001,1,0.0,0.0171530153602361,0.0009134822757914662,0.0,0.0236310996115207,0.0036125716287642,0.0
WA001,2001,2,0.0,0.009707624092698,0.0011192760430276,0.016504768282175,0.7211084365844727,0.01927818544209,0.0
WA001,2001,3,0.0,4.132660251343623e-06,0.0017361722420901,0.0510286130011081,0.0896400287747383,0.003365438664332,0.0
WA001,2001,4,0.0,0.0,0.0017893691547214,0.0975333899259567,0.1228291168808937,0.0193114299327135,0.0
WA001,2001,5,0.0,0.0,0.0008213160908780992,0.0480190776288509,0.078189343214035,0.0488820746541023,0.0
WA001,2001,6,0.017,0.6090785264968872,0.0210789423435926,0.3068144023418426,0.1618510037660598,0.4771867394447326,0.3040884733200073
WA001,2001,7,3.5232,1.4273078441619873,1.739211916923523,3.81631851196289,2.071246862411499,3.803120613098145,2.4674391746521
WA001,2001,8,4.681,6.43035364151001,5.037064075469971,5.359762668609619,4.260398387908936,6.651994228363037,3.8384838104248047
WA001,2001,9,3.7977,5.485469341278076,3.878793716430664,6.648019313812256,4.030142307281494,7.241941452026367,4.279056549072266
WA001,2001,10,0.1168,0.4966833293437958,0.5154956579208374,0.3773000836372375,0.945764422416687,0.4083005785942077,0.5201317071914673
WA001,2001,11,0.21,0.0822726190090179,0.0826689228415489,1.2093720436096191,0.6262759566307068,0.3335146605968475,0.4915796518325805
WA001,2001,12,0.0,0.0348135009407997,0.0019909844268113,0.0345238409936428,0.9632973670959472,0.0184276830404996,0.0
WA001,2002,1,1.2129,0.0346167646348476,1.7402429580688477,1.495495319366455,0.6687396764755249,0.7988694906234741,0.088725060224533
WA001,2002,2,0.0,0.010579134337604,0.0014629760989919,0.1620190739631652,0.7552014589309692,0.0145937353372573,0.0
WA001,2002,3,0.0,0.0001364342460874468,0.013202479109168,0.006000000052154,0.1821028143167495,0.0073422822169959,0.0
WA001,2002,4,0.0,7.278651901287958e-05,0.0206824913620948,0.0427571572363376,0.1427063196897506,0.0015862836735323,0.0
WA001,2002,5,0.0,0.0,0.0031906671356409,0.0435143038630485,0.023103954270482,0.0258214827626943,0.0
WA001,2002,6,0.393,0.3932664096355438,0.0282255206257104,1.7388482093811035,0.1213886961340904,0.7902352809906006,0.4457392394542694
WA001,2002,7,0.3848,2.250347375869751,0.0770775228738784,0.689185619354248,0.5125228762626648,0.8699473142623901,0.3124544620513916
WA001,2002,8,3.0158,7.197800636291504,3.3511722087860107,5.039166927337647,2.7389791011810303,4.0149688720703125,4.038037300109863
WA001,2002,9,3.5043,4.342318058013916,2.1804914474487305,3.811781406402588,3.5928008556365967,4.855903148651123,4.320741653442383
WA001,2002,10,1.3181,1.642272710800171,1.3053998947143557,1.3259810209274292,1.2332947254180908,1.3295512199401855,1.3588260412216189
WA001,2002,11,0.0,0.0291105043143033,0.001016917056404,0.0960190817713737,0.2063914686441421,0.0012823747238144,0.0
WA001,2002,12,0.0084,0.0425661690533161,0.0303021948784589,0.579219400882721,0.7029439806938171,0.0134791415184736,0.008049133233726
WA001,2003,1,0.0,0.0166905708611011,0.0022175735794007,0.0330095365643501,0.1206066161394119,0.0135567113757133,0.0
WA001,2003,2,0.0,0.0068855457939207,0.0210628639906644,0.2250858396291732,0.5567426681518555,0.0197784379124641,0.0580684170126915
WA001,2003,3,0.0,0.0009334521018899976,0.000858330400660634,0.0225047692656517,0.2442483603954315,0.0082235382869839,0.0
WA001,2003,4,0.0,0.00019685192091856152,0.0017793555743992,0.0517666898667812,0.1213605999946594,0.0057859658263623,0.0
WA001,2003,5,0.0,0.0287325587123632,0.0014310481492429,0.0607571564614772,0.086159624159336,0.021908389404416,0.0
WA001,2003,6,2.5057,0.3119247257709503,0.1260875314474105,1.3204330205917358,0.4322434365749359,0.6620244383811951,0.4186406433582306
WA001,2003,7,1.7865,3.973827123641968,0.8860151767730713,2.0825283527374268,1.089948654174805,3.98772931098938,2.364631414413452
WA001,2003,8,4.5284,4.753374099731445,2.1808738708496094,3.2927470207214355,2.920205354690552,3.726638078689575,4.564231395721436
WA001,2003,9,3.3417,5.697887420654297,4.187524318695068,3.635166645050049,4.425952911376953,5.708518981933594,4.385291576385498
WA001,2003,10,1.3045,0.9256572127342224,2.003302574157715,1.4955525398254397,1.8419246673583984,1.4173297882080078,1.5543898344039917
WA001,2003,11,0.0,0.0065748635679483,0.0009879096178337932,0.0367571525275707,0.0905389860272407,0.0211514066904783,0.0
WA001,2003,12,0.0,0.0348672531545162,0.0070430333726108,0.0270095374435186,0.6572121977806091,0.0158032961189746,0.0
WA001,2004,1,0.0,0.0220277737826108,0.0365560948848724,0.2836287915706634,0.4778782427310943,0.0034790921490639,0.0383200123906135
WA001,2004,2,0.0,0.0013087037950754,0.0022233431227505,0.2303096204996109,0.0720312595367431,0.0038192057982087,0.0560660548508167
WA001,2004,3,0.0,1.6984768080874346e-05,0.0060757319442927,0.0794952362775802,0.106763981282711,0.0003708784352056682,0.0
WA001,2004,4,0.0,0.0008901117835193872,0.001283090445213,0.0825238451361656,0.3393696546554565,0.0247913673520088,0.0
WA001,2004,5,0.0,0.020559137687087,0.0008178835269063711,0.0442714616656303,0.1325248330831527,0.0369160361588001,0.0
